"Name","Description","Short Description","Product Status","Permalink","Categories","Tags","SKU","Sale Price","Visibility","Stock Status","Price","Regular Price","Total Sales","Downloadable","Virtual","Purchase Note","Weight","Length","Width","Height","Sold Individually","Manage Stock","Stock","Backorders","Featured","Tax Status","Tax Class","Images","Download Limit","Download Expiry","File Path","Product URL","Product Type","Shipping Class","Comment Status","Ping Status"
"蜜纽康麦卢卡蜂蜜MGO550+/UMF25+ 500g","<a href=""http://kshop/wp-content/uploads/2015/11/mgo550_memo.png""><img class=""alignnone size-full wp-image-2477"" src=""http://kshop/wp-content/uploads/2015/11/mgo550_memo.png"" alt=""mgo550_memo"" width=""729"" height=""1261"" /></a>","","publish","http://kshop/product/manuka-health-%e8%9c%9c%e7%ba%bd%e5%ba%b7%e8%9c%82%e8%9c%9cumf25mgo550-500g/","麦卢卡蜂蜜","","","112","visible","instock","112","150","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/mgo550.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"蜜纽康麦卢卡蜂蜜MGO400+/UMF20+ 500g","<a href=""http://kshop/wp-content/uploads/2015/11/mgo550_memo.png""><img class=""alignnone size-full wp-image-2477"" src=""http://kshop/wp-content/uploads/2015/11/mgo550_memo.png"" alt=""mgo550_memo"" width=""729"" height=""1261"" /></a>","","publish","http://kshop/product/%e8%9c%9c%e7%ba%bd%e5%ba%b7%e9%ba%a6%e5%8d%a2%e5%8d%a1mgo400umf20-500g/","麦卢卡蜂蜜","","","72","visible","instock","72","99","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/mgo400.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"蜜纽康麦卢卡蜂蜜MGO250+/UMF15+ 500g","<a href=""http://kshop/wp-content/uploads/2015/11/mgo250_memo.png""><img class=""alignnone size-full wp-image-2489"" src=""http://kshop/wp-content/uploads/2015/11/mgo250_memo.png"" alt=""mgo250_memo"" width=""737"" height=""3275"" /></a>","","publish","http://kshop/product/%e8%9c%9c%e7%ba%bd%e5%ba%b7%e9%ba%a6%e5%8d%a2%e5%8d%a1%e8%9c%82%e8%9c%9cmgo250umf15-500g/","麦卢卡蜂蜜","","","52","visible","instock","52","70","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/mgo250.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"蜜纽康麦卢卡蜂蜜MGO100+/UMF10+ 500g","<a href=""http://kshop/wp-content/uploads/2015/11/mgo100_memo.png""><img class=""alignnone size-full wp-image-2483"" src=""http://kshop/wp-content/uploads/2015/11/mgo100_memo.png"" alt=""mgo100_memo"" width=""727"" height=""1251"" /></a>","","publish","http://kshop/product/%e8%9c%9c%e7%ba%bd%e5%ba%b7%e9%ba%a6%e5%8d%a2%e5%8d%a1mgo100umf10-500g/","麦卢卡蜂蜜","","","36","visible","instock","36","51","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/mgo100.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"蜜纽康 麦卢卡蜂蜜含绿茶精华MGO250+ 500g","<a href=""http://kshop/wp-content/uploads/2015/11/greentea_manuka_mgo250_memo.jpg""><img class=""alignnone size-full wp-image-2522"" src=""http://kshop/wp-content/uploads/2015/11/greentea_manuka_mgo250_memo.jpg"" alt=""greentea_manuka_mgo250_memo"" width=""742"" height=""1074"" /></a>","","publish","http://kshop/product/%e8%9c%9c%e7%ba%bd%e5%ba%b7-%e9%ba%a6%e5%8d%a2%e5%8d%a1%e8%9c%82%e8%9c%9c%e5%90%ab%e7%bb%bf%e8%8c%b6%e7%b2%be%e5%8d%8emgo250-500g/","麦卢卡蜂蜜","","","48","visible","instock","48","60","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/greentea_manuka_mgo250.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"蜜纽康 蜂王浆胶囊365粒","<a href=""http://kshop/wp-content/uploads/2015/11/fengwangjiang_manuka_365_memo.jpg""><img class=""alignnone size-full wp-image-2516"" src=""http://kshop/wp-content/uploads/2015/11/fengwangjiang_manuka_365_memo.jpg"" alt=""fengwangjiang_manuka_365_memo"" width=""750"" height=""966"" /></a>","","publish","http://kshop/product/%e8%9c%9c%e7%ba%bd%e5%ba%b7-%e8%9c%82%e7%8e%8b%e6%b5%86%e8%83%b6%e5%9b%8a365%e7%b2%92/","蜂王浆","","","70","visible","instock","70","96","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/fengwangjiang_manuka_365.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"纽乐 月见草胶囊 180粒","<a href=""http://kshop/wp-content/uploads/2015/11/nutralife_primrose_1000mg_memo.png""><img class=""alignnone size-full wp-image-2536"" src=""http://kshop/wp-content/uploads/2015/11/nutralife_primrose_1000mg_memo.png"" alt=""nutralife_primrose_1000mg_memo"" width=""760"" height=""943"" /></a>","","publish","http://kshop/product/%e7%ba%bd%e4%b9%90-%e6%9c%88%e8%a7%81%e8%8d%89%e8%83%b6%e5%9b%8a-180%e7%b2%92/","女性保健","","","18","visible","instock","18","28","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/nutralife_primrose_1000mg.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"纽乐 新西兰鲨鱼软骨提取胶囊 250粒","<a href=""http://kshop/wp-content/uploads/2015/11/nutralife_shark_250_memo.png""><img class=""alignnone size-full wp-image-2532"" src=""http://kshop/wp-content/uploads/2015/11/nutralife_shark_250_memo.png"" alt=""nutralife_shark_250_memo"" width=""750"" height=""1545"" /></a>","","publish","http://kshop/product/%e7%ba%bd%e4%b9%90-%e6%96%b0%e8%a5%bf%e5%85%b0%e9%b2%a8%e9%b1%bc%e8%bd%af%e9%aa%a8%e6%8f%90%e5%8f%96%e8%83%b6%e5%9b%8a-250%e7%b2%92/","抗氧化/抗劳损","","","41","visible","instock","41","62","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/nutralife_shark_250.png|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"红印 维生素C(500mg)无糖橙味咀嚼片200片+50片","【产品名称】Red Seal 红印 维生素C(500mg)无糖橙味咀嚼片200片+50片

<strong>【产品规格】25</strong>0片

<strong>【原产地】</strong>新西兰

<strong>【产品成分】</strong>

成分: 维生素C 500mg

<strong>【产品介绍】</strong>维生素C有助于建立和维持人体的天然抗感染能力，也有助于预防疾病和寒冷，并帮助伤口愈合。它有助于维持健康的皮肤，血液和血管。预防牙龈出血，掉发，美容淡斑。 维生素C是水溶性的，因此不会储存在体内，所以你的身体，因此必须接受每天维生素C供应充足。 松果有助于促进人体的免疫防御系统，以及具有天然抗菌性能。

<strong>【服用方法】 </strong>每日1次,每次1-2片.

<strong>【储藏方法】</strong>阴凉干燥处，25摄氏度以下，避免阳光直照","","publish","http://kshop/product/%e7%ba%a2%e5%8d%b0-%e7%bb%b4%e7%94%9f%e7%b4%a0c500mg%e6%97%a0%e7%b3%96%e6%a9%99%e5%91%b3%e5%92%80%e5%9a%bc%e7%89%87200%e7%89%8750%e7%89%87/","维生素/矿物质","","","22","visible","instock","22","24","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/redseal_vitaminc_500mg.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
"汤普森 血糖管理平衡素60片","<a href=""http://kshop/wp-content/uploads/2015/11/thompsons_glucose_60_memo.png""><img class=""alignnone size-full wp-image-2530"" src=""http://kshop/wp-content/uploads/2015/11/thompsons_glucose_60_memo.png"" alt=""thompsons_glucose_60_memo"" width=""784"" height=""1614"" /></a>","","publish","http://kshop/product/%e6%b1%a4%e6%99%ae%e6%a3%ae-%e8%a1%80%e7%b3%96%e7%ae%a1%e7%90%86%e5%b9%b3%e8%a1%a1%e7%b4%a060%e7%89%87/","预防三高","","","20","visible","instock","20","30","","no","no","","","","","","","no","","no","no","","","http://kshop/wp-content/uploads/2015/11/thompsons_glucose_60.jpg|http://kshop/wp-content/uploads/","","","","","","","open","closed"
